PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,ENTUNAVAILREASON,ENTPOP,ENTAGG,ENTAGGYEAR,ENTYEAR1,ENTYEAR2,ENTSBJ,ACCESS,ALEVEL,BACC,DEGREE,FOUNDTN,NOQUALS,OTHER,OTHERHE
10000291,10000291,K00533,1,0,55,14,2022-23,2022-23,,,9,89,0,0,0,0,0,2
10000291,10000291,K00534,1,0,245,13,2022-23,2022-23,,CAH04-01-01,4,90,0,0,0,1,4,1
10000291,10000291,K00534,1,0,185,13,2022-23,2022-23,,CAH15-01-02,10,85,0,0,0,2,2,1
10000291,10000291,K00535,1,0,15,14,2022-23,2022-23,,,0,30,5,0,0,5,45,10
10000291,10000291,K00536,1,0,55,13,2022-23,2022-23,,CAH13-01-02,5,75,0,5,0,7,0,7
10000291,10000291,K00537,1,0,20,14,2022-23,2022-23,,,15,70,0,0,0,5,0,10
10000291,10000291,K00538,1,0,10,24,2021-23,2022-23,2021-22,,0,75,0,0,0,10,20,0
10000291,10000291,K00539,1,0,90,13,2022-23,2022-23,,CAH11-01-04,6,71,0,0,0,4,15,4
10000291,10000291,K00540,1,0,15,24,2021-23,2022-23,2021-22,,0,70,15,0,0,0,15,0
10000291,10000291,K00541,1,0,15,24,2021-23,2022-23,2021-22,,0,90,0,0,0,0,10,0
10000291,10000291,K00542,1,0,15,14,2022-23,2022-23,,,0,90,5,0,0,0,0,5
10000291,10000291,K00543,1,0,15,24,2021-23,2022-23,2021-22,,0,100,0,0,0,0,0,0
10000291,10000291,K00544,1,0,185,13,2022-23,2022-23,,CAH03-02-01,1,93,2,0,0,1,2,1
10000291,10000291,K00545,1,0,15,14,2022-23,2022-23,,,0,80,0,0,0,0,20,0
10000291,10000291,K00548,1,0,10,24,2021-23,2022-23,2021-22,,0,80,0,0,0,10,10,0
10000291,10000291,K00554,1,0,80,13,2022-23,2022-23,,CAH10-01-02,4,73,3,0,0,6,10,4
10000291,10000291,K00555,1,0,40,13,2022-23,2022-23,,CAH25-02-01,0,95,0,0,0,0,5,0
10000291,10000291,K00558,1,0,15,14,2022-23,2022-23,,,0,75,0,0,0,5,20,0
10000291,10000291,K00559,1,0,35,13,2022-23,2022-23,,CAH15-04-02,5,60,0,0,0,0,5,25
10000291,10000291,K00560,1,0,215,13,2022-23,2022-23,,CAH17-01-02,1,80,1,0,0,3,10,5
10000291,10000291,K00565,1,0,15,24,2021-23,2022-23,2021-22,,0,100,0,0,0,0,0,0
10000291,10000291,K00566,1,0,60,13,2022-23,2022-23,,CAH24-01-05,1,82,2,2,0,3,10,1
10000291,10000291,K00566,1,0,35,13,2022-23,2022-23,,CAH25-02-03,0,85,0,0,0,10,5,0
10000291,10000291,K00567,1,0,60,13,2022-23,2022-23,,CAH24-01-05,1,82,2,2,0,3,10,1
10000291,10000291,K00568,1,0,15,24,2021-23,2022-23,2021-22,,5,90,0,0,0,0,0,5
10000291,10000291,K00569,1,0,30,13,2022-23,2022-23,,CAH19-01-05,5,85,0,0,0,5,0,5
10000291,10000291,K00569,1,0,60,13,2022-23,2022-23,,CAH24-01-05,1,82,2,2,0,3,10,1
10000291,10000291,K00572,1,0,95,13,2022-23,2022-23,,CAH11-01-06,0,86,0,1,0,5,5,2
10000291,10000291,K00573,1,0,185,13,2022-23,2022-23,,CAH15-01-02,10,85,0,0,0,2,2,1
10000291,10000291,K00574,1,0,185,13,2022-23,2022-23,,CAH15-01-02,10,85,0,0,0,2,2,1
10000291,10000291,K00575,1,0,185,13,2022-23,2022-23,,CAH15-01-02,10,85,0,0,0,2,2,1
10000291,10000291,K00576,1,0,10,14,2022-23,2022-23,,,0,100,0,0,0,0,0,0
10000291,10000291,K00577,1,0,200,13,2022-23,2022-23,,CAH25-01-03,1,87,1,1,0,1,9,1
10000291,10000291,K00578,1,0,200,13,2022-23,2022-23,,CAH25-01-03,1,87,1,1,0,1,9,1
10000291,10000291,K00579,1,0,35,13,2022-23,2022-23,,CAH25-02-03,0,85,0,0,0,10,5,0
10000291,10000291,K00580,1,1,25,13,2022-23,2022-23,,CAH19-01-03,5,85,0,0,0,0,0,5
10000291,10000291,K00580,1,1,35,13,2022-23,2022-23,,CAH25-02-03,0,85,0,0,0,10,5,0
10000291,10000291,K00581,1,1,25,13,2022-23,2022-23,,CAH19-01-03,5,85,0,0,0,0,0,5
10000291,10000291,K00581,1,1,35,13,2022-23,2022-23,,CAH25-02-03,0,85,0,0,0,10,5,0
10000291,10000291,K00582,1,0,60,13,2022-23,2022-23,,CAH24-01-05,1,82,2,2,0,3,10,1
10000291,10000291,K00582,1,0,35,13,2022-23,2022-23,,CAH25-02-03,0,85,0,0,0,10,5,0
10000291,10000291,K00584,1,1,25,13,2022-23,2022-23,,CAH19-01-03,5,85,0,0,0,0,0,5
10000291,10000291,K00585,1,0,200,13,2022-23,2022-23,,CAH25-01-03,1,87,1,1,0,1,9,1
